Year,Technology,VariableCost
,Sugar Exports,
2015,Sugar Exports,-380
2016,Sugar Exports,-389.9
2017,Sugar Exports,-399.7
2018,Sugar Exports,-409.6
2019,Sugar Exports,-419.4
2020,Sugar Exports,-429.3
2021,Sugar Exports,-439.1
2022,Sugar Exports,-449
2023,Sugar Exports,-458.8
2024,Sugar Exports,-468.7
2025,Sugar Exports,-478.5
2026,Sugar Exports,-488.4
2027,Sugar Exports,-498.2
2028,Sugar Exports,-508.1
2029,Sugar Exports,-517.9
2030,Sugar Exports,-527.8
2031,Sugar Exports,-537.6
2032,Sugar Exports,-547.5
2033,Sugar Exports,-557.3
2034,Sugar Exports,-567.2
2035,Sugar Exports,-577
2036,Sugar Exports,-586.9
2037,Sugar Exports,-596.7
2038,Sugar Exports,-606.6
2039,Sugar Exports,-616.4
2040,Sugar Exports,-626.3
2041,Sugar Exports,-636.1
2042,Sugar Exports,-646
2043,Sugar Exports,-655.8
2044,Sugar Exports,-665.7
2045,Sugar Exports,-675.5
2046,Sugar Exports,-685.4
2047,Sugar Exports,-695.2
2048,Sugar Exports,-705.1
2049,Sugar Exports,-714.9
2050,Sugar Exports,-724.8
,Rice Exports,
2015,Rice Exports,-370
2016,Rice Exports,-372
2017,Rice Exports,-374
2018,Rice Exports,-376
2019,Rice Exports,-378
2020,Rice Exports,-380
2021,Rice Exports,-382
2022,Rice Exports,-384
2023,Rice Exports,-386
2024,Rice Exports,-388
2025,Rice Exports,-390
2026,Rice Exports,-392
2027,Rice Exports,-394
2028,Rice Exports,-396
2029,Rice Exports,-398
2030,Rice Exports,-400
2031,Rice Exports,-402
2032,Rice Exports,-404
2033,Rice Exports,-406
2034,Rice Exports,-408
2035,Rice Exports,-410
2036,Rice Exports,-412
2037,Rice Exports,-414
2038,Rice Exports,-416
2039,Rice Exports,-418
2040,Rice Exports,-420
2041,Rice Exports,-422
2042,Rice Exports,-424
2043,Rice Exports,-426
2044,Rice Exports,-428
2045,Rice Exports,-430
2046,Rice Exports,-432
2047,Rice Exports,-434
2048,Rice Exports,-436
2049,Rice Exports,-438
2050,Rice Exports,-440
,Pineapple Exports,
2015,Pineapple Exports,-430
2016,Pineapple Exports,-426.4
2017,Pineapple Exports,-422.8
2018,Pineapple Exports,-419.2
2019,Pineapple Exports,-415.6
2020,Pineapple Exports,-412
2021,Pineapple Exports,-408.4
2022,Pineapple Exports,-404.8
2023,Pineapple Exports,-401.2
2024,Pineapple Exports,-397.6
2025,Pineapple Exports,-394
2026,Pineapple Exports,-390.4
2027,Pineapple Exports,-386.8
2028,Pineapple Exports,-383.2
2029,Pineapple Exports,-379.6
2030,Pineapple Exports,-376
2031,Pineapple Exports,-372.4
2032,Pineapple Exports,-368.8
2033,Pineapple Exports,-365.2
2034,Pineapple Exports,-361.6
2035,Pineapple Exports,-358
2036,Pineapple Exports,-354.4
2037,Pineapple Exports,-350.8
2038,Pineapple Exports,-347.2
2039,Pineapple Exports,-343.6
2040,Pineapple Exports,-340
2041,Pineapple Exports,-336.4
2042,Pineapple Exports,-332.8
2043,Pineapple Exports,-329.2
2044,Pineapple Exports,-325.6
2045,Pineapple Exports,-322
2046,Pineapple Exports,-318.4
2047,Pineapple Exports,-314.8
2048,Pineapple Exports,-311.2
2049,Pineapple Exports,-307.6
2050,Pineapple Exports,-304
,Palm Exports,
2015,Palm Exports,-730
2016,Palm Exports,-769
2017,Palm Exports,-808.1
2018,Palm Exports,-847.1
2019,Palm Exports,-886.2
2020,Palm Exports,-925.2
2021,Palm Exports,-964.2
2022,Palm Exports,-1003.3
2023,Palm Exports,-1042.3
2024,Palm Exports,-1081.3
2025,Palm Exports,-1120.4
2026,Palm Exports,-1159.4
2027,Palm Exports,-1198.5
2028,Palm Exports,-1237.5
2029,Palm Exports,-1276.5
2030,Palm Exports,-1315.6
2031,Palm Exports,-1354.6
2032,Palm Exports,-1393.7
2033,Palm Exports,-1432.7
2034,Palm Exports,-1471.7
2035,Palm Exports,-1510.8
2036,Palm Exports,-1549.8
2037,Palm Exports,-1588.8
2038,Palm Exports,-1627.9
2039,Palm Exports,-1666.9
2040,Palm Exports,-1706
2041,Palm Exports,-1745
2042,Palm Exports,-1784
2043,Palm Exports,-1823.1
2044,Palm Exports,-1862.1
2045,Palm Exports,-1901.2
2046,Palm Exports,-1940.2
2047,Palm Exports,-1979.2
2048,Palm Exports,-2018.3
2049,Palm Exports,-2057.3
2050,Palm Exports,-2096.3
,Molasses Exports,
2015,Molasses Exports,
2016,Molasses Exports,
2017,Molasses Exports,
2018,Molasses Exports,
2019,Molasses Exports,
2020,Molasses Exports,
2021,Molasses Exports,
2022,Molasses Exports,
2023,Molasses Exports,
2024,Molasses Exports,
2025,Molasses Exports,
2026,Molasses Exports,
2027,Molasses Exports,
2028,Molasses Exports,
2029,Molasses Exports,
2030,Molasses Exports,
2031,Molasses Exports,
2032,Molasses Exports,
2033,Molasses Exports,
2034,Molasses Exports,
2035,Molasses Exports,
2036,Molasses Exports,
2037,Molasses Exports,
2038,Molasses Exports,
2039,Molasses Exports,
2040,Molasses Exports,
2041,Molasses Exports,
2042,Molasses Exports,
2043,Molasses Exports,
2044,Molasses Exports,
2045,Molasses Exports,
2046,Molasses Exports,
2047,Molasses Exports,
2048,Molasses Exports,
2049,Molasses Exports,
2050,Molasses Exports,
,Coffee Exports,
2015,Coffee Exports,-4460
2016,Coffee Exports,-4517.4
2017,Coffee Exports,-4574.9
2018,Coffee Exports,-4632.3
2019,Coffee Exports,-4689.8
2020,Coffee Exports,-4747.2
2021,Coffee Exports,-4804.6
2022,Coffee Exports,-4862.1
2023,Coffee Exports,-4919.5
2024,Coffee Exports,-4977
2025,Coffee Exports,-5034.4
2026,Coffee Exports,-5091.8
2027,Coffee Exports,-5149.3
2028,Coffee Exports,-5206.7
2029,Coffee Exports,-5264.2
2030,Coffee Exports,-5321.6
2031,Coffee Exports,-5379
2032,Coffee Exports,-5436.5
2033,Coffee Exports,-5493.9
2034,Coffee Exports,-5551.4
2035,Coffee Exports,-5608.8
2036,Coffee Exports,-5666.2
2037,Coffee Exports,-5723.7
2038,Coffee Exports,-5781.1
2039,Coffee Exports,-5838.6
2040,Coffee Exports,-5896
2041,Coffee Exports,-5953.4
2042,Coffee Exports,-6010.9
2043,Coffee Exports,-6068.3
2044,Coffee Exports,-6125.8
2045,Coffee Exports,-6183.2
2046,Coffee Exports,-6240.6
2047,Coffee Exports,-6298.1
2048,Coffee Exports,-6355.5
2049,Coffee Exports,-6413
2050,Coffee Exports,-6470.4
,Banana Exports,
2015,Banana Exports,-420
2016,Banana Exports,-416.4
2017,Banana Exports,-412.8
2018,Banana Exports,-409.2
2019,Banana Exports,-405.6
2020,Banana Exports,-402
2021,Banana Exports,-398.4
2022,Banana Exports,-394.8
2023,Banana Exports,-391.2
2024,Banana Exports,-387.6
2025,Banana Exports,-384
2026,Banana Exports,-380.4
2027,Banana Exports,-376.8
2028,Banana Exports,-373.2
2029,Banana Exports,-369.6
2030,Banana Exports,-366
2031,Banana Exports,-362.4
2032,Banana Exports,-358.8
2033,Banana Exports,-355.2
2034,Banana Exports,-351.6
2035,Banana Exports,-348
2036,Banana Exports,-344.4
2037,Banana Exports,-340.8
2038,Banana Exports,-337.2
2039,Banana Exports,-333.6
2040,Banana Exports,-330
2041,Banana Exports,-326.4
2042,Banana Exports,-322.8
2043,Banana Exports,-319.2
2044,Banana Exports,-315.6
2045,Banana Exports,-312
2046,Banana Exports,-308.4
2047,Banana Exports,-304.8
2048,Banana Exports,-301.2
2049,Banana Exports,-297.6
2050,Banana Exports,-294
